track.external_urls.spotify,track.name,track.id,key,mode,tempo,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,track.uri,time_signature
https://open.spotify.com/track/2PtssgaplWt6pf8x5AzyNi,Open End Resource - OCULA Edit,2PtssgaplWt6pf8x5AzyNi,2,TRUE,125.017,236160,35,0.149,0.553,0.733,0.0203,0.0906,-8.924,0.0275,0.427,spotify:track:2PtssgaplWt6pf8x5AzyNi,3
https://open.spotify.com/track/3nvIKK5SHFWmKGoaGVxxYu,Goodbye Again,3nvIKK5SHFWmKGoaGVxxYu,7,TRUE,127.12,220533,0,0.683,0.456,0.374,0.00327,0.311,-9.942,0.028,0.585,spotify:track:3nvIKK5SHFWmKGoaGVxxYu,4
https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,5,FALSE,127.975,239600,87,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,0.965,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,4
https://open.spotify.com/track/3YXTc9txD7OwGdkVkaoj5F,All I Need,3YXTc9txD7OwGdkVkaoj5F,11,FALSE,130.007,203040,33,0.0555,0.584,0.739,0.658,0.083,-6.784,0.0296,0.371,spotify:track:3YXTc9txD7OwGdkVkaoj5F,4
https://open.spotify.com/track/0jDO17IUPbXSTGNCuR0Jfd,This Is What It Feels Like,0jDO17IUPbXSTGNCuR0Jfd,8,TRUE,129.885,204360,33,0.0391,0.551,0.833,0.00000277,0.0632,-5.217,0.03,0.145,spotify:track:0jDO17IUPbXSTGNCuR0Jfd,5
https://open.spotify.com/track/6CbhlWMEz2c7XVH8qosDkS,"Poems, Prayers and Promises - ""Greatest Hits"" Version",6CbhlWMEz2c7XVH8qosDkS,2,TRUE,129.284,277706,0,0.739,0.486,0.249,0.000092,0.151,-12.815,0.03,0.523,spotify:track:6CbhlWMEz2c7XVH8qosDkS,4
https://open.spotify.com/track/4l2cybnuXksxxKzCCSDPfV,Kalyna,4l2cybnuXksxxKzCCSDPfV,2,TRUE,125.002,186346,53,0.00237,0.609,0.776,0.000123,0.32,-4.863,0.0303,0.194,spotify:track:4l2cybnuXksxxKzCCSDPfV,4
https://open.spotify.com/track/5oUV6yWdDM0R9Q2CizRhIt,New Slang,5oUV6yWdDM0R9Q2CizRhIt,0,TRUE,130.015,231173,0,0.605,0.669,0.389,0.16,0.0905,-11.547,0.0306,0.649,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,4
https://open.spotify.com/track/5F55SiWwEEytk6vsQXHxQW,In a Week (feat. Karen Cowley),5F55SiWwEEytk6vsQXHxQW,0,TRUE,131.396,318493,46,0.791,0.464,0.269,0.00000768,0.139,-12.14,0.0311,0.184,spotify:track:5F55SiWwEEytk6vsQXHxQW,3
https://open.spotify.com/track/22jhuLu3cINdlhIfmV7E0T,Floral,22jhuLu3cINdlhIfmV7E0T,2,FALSE,131.003,296793,31,0.00183,0.631,0.79,0.804,0.0903,-8.367,0.0312,0.269,spotify:track:22jhuLu3cINdlhIfmV7E0T,4
https://open.spotify.com/track/2hhVlIZmGEGfNeVIYnMUAG,The Sun,2hhVlIZmGEGfNeVIYnMUAG,5,FALSE,126.031,208946,57,0.758,0.779,0.605,0.665,0.0918,-7.294,0.0315,0.735,spotify:track:2hhVlIZmGEGfNeVIYnMUAG,4
https://open.spotify.com/track/222xHxHw2MXwNX2qRFO6cB,Circle Back Around,222xHxHw2MXwNX2qRFO6cB,1,TRUE,130.009,195408,45,0.000737,0.679,0.668,0.507,0.0591,-7.913,0.0315,0.362,spotify:track:222xHxHw2MXwNX2qRFO6cB,4
