track.name,track.id,track.album.album_type,track.album.name,track.album.release_date,track.artists.name,track.artists.id,track.duration_ms,track.popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track.external_urls.spotify,track.uri
Work Song,4Vc3bzFxXdrABa2DxgyCMT,album,Hozier,2014-10-07,,,229720,58,0.749,0.531,0.359,0,10,0.112,-7.672,1,0.0619,121.249,4,0.254,https://open.spotify.com/track/4Vc3bzFxXdrABa2DxgyCMT,spotify:track:4Vc3bzFxXdrABa2DxgyCMT
In a Week (feat. Karen Cowley),5F55SiWwEEytk6vsQXHxQW,album,Hozier,2014-10-07,,,318493,46,0.791,0.464,0.269,0.00000768,0,0.139,-12.14,1,0.0311,131.396,3,0.184,https://open.spotify.com/track/5F55SiWwEEytk6vsQXHxQW,spotify:track:5F55SiWwEEytk6vsQXHxQW
Like Real People Do,7K6LFPfjdnN6QqvGzhvpRO,album,Hozier,2014-10-07,,,198026,56,0.921,0.54,0.178,0.377,7,0.106,-14.33,1,0.0308,139.941,3,0.145,https://open.spotify.com/track/7K6LFPfjdnN6QqvGzhvpRO,spotify:track:7K6LFPfjdnN6QqvGzhvpRO
Take Ü There (feat. Kiesza),2RpKh7kXSdO8NLrW9VQ46p,album,Skrillex and Diplo present Jack Ü,2015-02-24,,,210000,60,0.0523,0.542,0.879,0,6,0.171,-1.427,0,0.0921,159.888,4,0.118,https://open.spotify.com/track/2RpKh7kXSdO8NLrW9VQ46p,spotify:track:2RpKh7kXSdO8NLrW9VQ46p
Holla Out (feat. Snails & Taranchyla),3LDKrOek8eqZA52IeauhrW,album,Skrillex and Diplo present Jack Ü,2015-02-24,,,256000,46,0.1,0.639,0.989,0,6,0.678,-2.842,0,0.497,149.983,4,0.382,https://open.spotify.com/track/3LDKrOek8eqZA52IeauhrW,spotify:track:3LDKrOek8eqZA52IeauhrW
To Ü (feat. AlunaGeorge),3UgSQu6WwrXfKKDq019IHE,album,Skrillex and Diplo present Jack Ü,2015-02-24,,,237000,61,0.134,0.485,0.928,0.0000292,10,0.217,-3.451,0,0.445,160.165,4,0.348,https://open.spotify.com/track/3UgSQu6WwrXfKKDq019IHE,spotify:track:3UgSQu6WwrXfKKDq019IHE
Febreze (feat. 2 Chainz),48bSfSZaq9Aizbu4AWn4st,album,Skrillex and Diplo present Jack Ü,2015-02-24,,,214400,53,0.0184,0.68,0.983,0,2,0.289,-3.51,1,0.333,149.829,4,0.263,https://open.spotify.com/track/48bSfSZaq9Aizbu4AWn4st,spotify:track:48bSfSZaq9Aizbu4AWn4st
Beats Knockin (feat. Fly Boi Keno),4gwF1NiLbZl2uKJDS3AX9O,album,Skrillex and Diplo present Jack Ü,2015-02-24,,,173077,52,0.0118,0.814,0.951,0,11,0.628,-1.981,1,0.0715,104.003,4,0.264,https://open.spotify.com/track/4gwF1NiLbZl2uKJDS3AX9O,spotify:track:4gwF1NiLbZl2uKJDS3AX9O
Where Are Ü Now (with Justin Bieber),66hayvUbTotekKU3H4ta1f,album,Skrillex and Diplo present Jack Ü,2015-02-24,,,250285,77,0.041,0.432,0.781,0.00000421,4,0.0789,-4.038,0,0.0567,139.432,4,0.197,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f,spotify:track:66hayvUbTotekKU3H4ta1f
Mind (feat. Kai),6ZpR2XFuQJSHAQwg9495KZ,album,Skrillex and Diplo present Jack Ü,2015-02-24,,,242068,65,0.117,0.502,0.777,0.00000291,1,0.0957,-4.627,1,0.0934,174.153,4,0.356,https://open.spotify.com/track/6ZpR2XFuQJSHAQwg9495KZ,spotify:track:6ZpR2XFuQJSHAQwg9495KZ
Jungle Bae (feat. Bunji Garlin & MX Prime),7yJzk64ul9PFgVFUYbEzZL,album,Skrillex and Diplo present Jack Ü,2015-02-24,,,208125,53,0.0304,0.744,0.997,0.00256,2,0.0737,-1.325,1,0.13,127.975,4,0.558,https://open.spotify.com/track/7yJzk64ul9PFgVFUYbEzZL,spotify:track:7yJzk64ul9PFgVFUYbEzZL
Swoopin,0TZr2gd0XAfMSK0sYF7LDl,single,ß,2014-10-27,,,192783,0,0.000689,0.603,0.787,0.869,7,0.0273,-9.729,1,0.0779,152.098,4,0.375,https://open.spotify.com/track/0TZr2gd0XAfMSK0sYF7LDl,spotify:track:0TZr2gd0XAfMSK0sYF7LDl
Boog,2bXaEM1uinnxPKWzG0tGLX,single,ß,2014-10-27,,,207410,0,0.00936,0.797,0.948,0.889,8,0.0454,-8.006,1,0.157,134.021,4,0.544,https://open.spotify.com/track/2bXaEM1uinnxPKWzG0tGLX,spotify:track:2bXaEM1uinnxPKWzG0tGLX
One Touch VIP,6wByKIXthQSFq9n4CqK0Au,single,ß,2014-10-27,,,220477,0,0.00979,0.655,0.958,0.0767,8,0.266,-6.809,0,0.182,99.947,4,0.568,https://open.spotify.com/track/6wByKIXthQSFq9n4CqK0Au,spotify:track:6wByKIXthQSFq9n4CqK0Au
Turn This Love Around,0TyXT3d0BrpXKzl1n1ZQfa,compilation,Intense (The More Intense Edition),2013-05-03,,,322400,14,0.152,0.648,0.848,0.147,1,0.0359,-7.465,1,0.063,129.979,4,0.683,https://open.spotify.com/track/0TyXT3d0BrpXKzl1n1ZQfa,spotify:track:0TyXT3d0BrpXKzl1n1ZQfa
This Is What It Feels Like,0jDO17IUPbXSTGNCuR0Jfd,compilation,Intense (The More Intense Edition),2013-05-03,,,204360,33,0.0391,0.551,0.833,0.00000277,8,0.0632,-5.217,1,0.03,129.885,5,0.145,https://open.spotify.com/track/0jDO17IUPbXSTGNCuR0Jfd,spotify:track:0jDO17IUPbXSTGNCuR0Jfd
Sound Of The Drums,7aRKKNCR5SJY1Gae601BMO,compilation,Intense (The More Intense Edition),2013-05-03,,,235880,20,0.482,0.615,0.57,0.00146,8,0.146,-8.975,0,0.0384,131.855,4,0.312,https://open.spotify.com/track/7aRKKNCR5SJY1Gae601BMO,spotify:track:7aRKKNCR5SJY1Gae601BMO
TECHNO (feat. Waka Flocka Flame),0amzelQH7rvlgama4wquC5,album,Random White Dude Be Everywhere,2014-07-29,,,208012,0,0.00505,0.668,0.911,0.000126,4,0.327,-4.157,0,0.0593,150.03,4,0.655,https://open.spotify.com/track/0amzelQH7rvlgama4wquC5,spotify:track:0amzelQH7rvlgama4wquC5
Boy Oh Boy,18rDGEpDdyCaxqFrvjc4yv,album,Random White Dude Be Everywhere,2014-07-29,,,174398,0,0.00224,0.539,0.954,0.835,1,0.0623,-3.054,0,0.12,129.956,4,0.389,https://open.spotify.com/track/18rDGEpDdyCaxqFrvjc4yv,spotify:track:18rDGEpDdyCaxqFrvjc4yv
Revolution (feat. Faustix & Imanos and Kai),1jEtdpOF6uyPQbRv2UOnkJ,album,Random White Dude Be Everywhere,2014-07-29,,,263716,0,0.00499,0.634,0.724,0.000193,5,0.0732,-5.842,0,0.0546,148.024,4,0.309,https://open.spotify.com/track/1jEtdpOF6uyPQbRv2UOnkJ,spotify:track:1jEtdpOF6uyPQbRv2UOnkJ
Express Yourself (feat. Nicky Da B),3XdbNOzMb0TL6pBbtEpyqT,album,Random White Dude Be Everywhere,2014-07-29,,,277546,0,0.0507,0.84,0.939,0.0000142,4,0.598,-3.052,0,0.233,107.976,4,0.355,https://open.spotify.com/track/3XdbNOzMb0TL6pBbtEpyqT,spotify:track:3XdbNOzMb0TL6pBbtEpyqT
6th Gear (feat. Kstylis),4SHJNq8tYzrPys6qw29vge,album,Random White Dude Be Everywhere,2014-07-29,,,211900,0,0.00471,0.879,0.962,0.000902,6,0.0314,-2.634,1,0.193,150.019,4,0.592,https://open.spotify.com/track/4SHJNq8tYzrPys6qw29vge,spotify:track:4SHJNq8tYzrPys6qw29vge
Biggie Bounce (feat. Angger Dimas & Travis Porter),4ZnVZH29g341eD7s2bOMG4,album,Random White Dude Be Everywhere,2014-07-29,,,224769,0,0.00183,0.726,0.945,0,7,0.232,-3.591,1,0.07,110.017,4,0.495,https://open.spotify.com/track/4ZnVZH29g341eD7s2bOMG4,spotify:track:4ZnVZH29g341eD7s2bOMG4
Freak (feat. Steve Bays),6UMds0e3TmqgosR2ERaseA,album,Random White Dude Be Everywhere,2014-07-29,,,281250,0,0.00538,0.661,0.957,0.132,6,0.0622,-3.486,1,0.0898,127.948,4,0.263,https://open.spotify.com/track/6UMds0e3TmqgosR2ERaseA,spotify:track:6UMds0e3TmqgosR2ERaseA
