track.name,added_at,track.album.album_type,track.album.name,track.album.release_date,track.artists[0].name,track.artists[0].id,track.duration_ms,track.explicit,track.popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,track.external_urls.spotify,track.uri
Alaska - Sofi Tukker Remix,2023-06-28T21:49:17Z,single,Alaska (Sofi Tukker Remix),2017-07-07,,,290933,false,62,0.562,0.869,0.469,0.67,0.125,-11.502,0.0631,122.969,0.863,https://open.spotify.com/track/6hrbuGy0XxLZb9EBmfgLnM,spotify:track:6hrbuGy0XxLZb9EBmfgLnM
Alaska,2023-06-28T21:44:53Z,album,Heard It In A Past Life,2019-01-18,,,188000,false,73,0.411,0.847,0.386,0.00176,0.108,-10.668,0.0507,104.001,0.178,https://open.spotify.com/track/4HfLQJtVT1KiX1eVedDyTm,spotify:track:4HfLQJtVT1KiX1eVedDyTm
Never Be Like You (feat. Kai),2023-06-28T21:37:41Z,album,Skin,2016-05-27,,,234909,true,72,0.453,0.444,0.557,0,0.152,-5.476,0.0602,115.058,0.296,https://open.spotify.com/track/5WI2ltQIdwgzf1SNE76JyR,spotify:track:5WI2ltQIdwgzf1SNE76JyR
Magnets,2023-06-28T21:28:43Z,album,Caracal (Deluxe),2015-09-25,,,199245,false,67,0.0626,0.704,0.628,0.00000149,0.103,-7.882,0.162,92.005,0.654,https://open.spotify.com/track/7nRmfGNhHKEEu5o8yFXLXt,spotify:track:7nRmfGNhHKEEu5o8yFXLXt
Move,2023-06-28T21:20:34Z,single,Move,2015-11-06,,,188307,false,40,0.722,0.71,0.364,0.0108,0.102,-13.974,0.113,129.994,0.222,https://open.spotify.com/track/4cVzPbPsYsfQD5JLszLoV6,spotify:track:4cVzPbPsYsfQD5JLszLoV6
Whatever I Do,2023-06-28T21:15:27Z,compilation,Alchemy (Liquicity Presents),2015-10-02,,,229760,false,34,0.0792,0.484,0.874,0.000462,0.0863,-2.276,0.0487,173.929,0.454,https://open.spotify.com/track/7HcZO1dultTkxUfeiSiUSo,spotify:track:7HcZO1dultTkxUfeiSiUSo
Used to Work for a Livin',2023-06-27T15:21:48Z,single,This Joint's For You,2023-05-12,,,220893,true,15,0.156,0.572,0.699,0.00000286,0.144,-6.883,0.0377,149.89,0.634,https://open.spotify.com/track/22TqGitzC0f2cSvB9wnOue,spotify:track:22TqGitzC0f2cSvB9wnOue
More Love,2023-06-26T19:35:10Z,single,More Love,2022-07-29,,,191612,false,63,0.00373,0.572,0.951,0.0529,0.318,-4.566,0.0504,123.984,0.276,https://open.spotify.com/track/5PY9fTLp4MPXsbeRouS8gd,spotify:track:5PY9fTLp4MPXsbeRouS8gd
Chicana Baby,2023-06-25T15:42:06Z,single,Chicana Baby,2018-09-16,,,224637,false,2,0.469,0.626,0.698,0.000602,0.348,-7.448,0.143,77,0.753,https://open.spotify.com/track/7pBkjYLXQ9NPxhpVDe83sq,spotify:track:7pBkjYLXQ9NPxhpVDe83sq
Don't Go Running,2023-06-24T23:24:59Z,single,Don't Go Running,2023-06-17,,,188111,true,2,0.0082,0.9,0.372,0.0147,0.0926,-8.783,0.142,96.964,0.472,https://open.spotify.com/track/6AiHt5P6Y1dT7nzQTTto4Z,spotify:track:6AiHt5P6Y1dT7nzQTTto4Z
Tulsa In The Haus,2023-06-24T20:14:57Z,single,Tulsa In The Haus,2023-01-27,,,358278,false,11,0.109,0.765,0.83,0.427,0.0771,-8.943,0.151,124.978,0.497,https://open.spotify.com/track/5ePUL6ENVRmNHLc4RaIpZ8,spotify:track:5ePUL6ENVRmNHLc4RaIpZ8
Your Sound,2023-06-24T19:56:49Z,compilation,Routine Espresso VA004: Caffeine Alley,2020-10-30,,,424170,false,8,0.689,0.734,0.899,0.392,0.101,-7.517,0.0379,125.007,0.375,https://open.spotify.com/track/6GAnWvSZHOFIIrAcESRh6a,spotify:track:6GAnWvSZHOFIIrAcESRh6a
King Of My Castle (feat. Kali Mija) - Extended Mix,2023-06-20T02:13:23Z,single,King Of My Castle (feat. Kali Mija),2023-06-09,,,377704,false,37,0.0112,0.857,0.598,0.207,0.0864,-9.518,0.0539,121.991,0.117,https://open.spotify.com/track/5658LX0nQMF6hVR41QNkCx,spotify:track:5658LX0nQMF6hVR41QNkCx
F For You,2023-06-16T14:42:11Z,album,Settle (Deluxe),2013-06-03,,,269946,false,49,0.00731,0.751,0.812,0.0298,0.11,-7.4,0.0707,123.998,0.224,https://open.spotify.com/track/2XnnUZJIWSvq5AsE2PpoSz,spotify:track:2XnnUZJIWSvq5AsE2PpoSz
Help Me Lose My Mind,2023-06-16T14:29:52Z,album,Settle (Deluxe),2013-06-03,,,244480,false,64,0.0395,0.78,0.708,0.0798,0.0516,-5.692,0.0549,109.023,0.345,https://open.spotify.com/track/4FjT3dqUW2Uq0R3pMz5V7C,spotify:track:4FjT3dqUW2Uq0R3pMz5V7C
Intro,2023-06-16T14:29:37Z,album,Settle (Deluxe),2013-06-03,,,61306,false,35,0.132,0.493,0.605,0,0.378,-8.948,0.358,172.305,0.453,https://open.spotify.com/track/3VzoXyWHY3s0ooDaieKNfB,spotify:track:3VzoXyWHY3s0ooDaieKNfB
When A Fire Starts To Burn,2023-06-16T14:29:34Z,album,Settle (Deluxe),2013-06-03,,,284026,false,53,0.00933,0.625,0.756,0.00134,0.324,-6.954,0.231,123.948,0.673,https://open.spotify.com/track/7qVLZuvzNjyiy3TVtEBwBE,spotify:track:7qVLZuvzNjyiy3TVtEBwBE
White Noise,2023-06-16T14:29:29Z,album,Settle (Deluxe),2013-06-03,,,277520,false,55,0.0103,0.683,0.845,0.000108,0.345,-6.17,0.051,119.966,0.874,https://open.spotify.com/track/4PPiV0xlKze0D4G93UWLji,spotify:track:4PPiV0xlKze0D4G93UWLji
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,2023-06-16T14:29:15Z,album,Surprise,1991-01-01,,,451826,false,70,0.000779,0.484,0.641,0.278,0.0738,-12.612,0.0377,119.981,0.181,https://open.spotify.com/track/1SShxVVBeZBCY7WddnksPz,spotify:track:1SShxVVBeZBCY7WddnksPz
Latch,2023-06-16T14:29:08Z,album,Settle (Deluxe),2013-06-03,,,255866,false,74,0.0178,0.729,0.735,0.000193,0.089,-5.455,0.0919,121.986,0.544,https://open.spotify.com/track/1DunhgeZSEgWiIYbHqXl0c,spotify:track:1DunhgeZSEgWiIYbHqXl0c
Rumble,2023-06-16T14:28:56Z,single,Rumble,2023-01-04,,,146571,false,75,0.0515,0.81,0.836,0.229,0.0598,-7.721,0.0645,139.979,0.0585,https://open.spotify.com/track/1GfBLbAhZUWdseuDqhocmn,spotify:track:1GfBLbAhZUWdseuDqhocmn
Innerbloom,2023-06-16T14:28:50Z,album,Bloom,2016-01-22,,,578040,false,77,0.126,0.729,0.72,0.347,0.178,-6.692,0.037,122.011,0.0389,https://open.spotify.com/track/6CGMZijOAZvTXG21T8t6R0,spotify:track:6CGMZijOAZvTXG21T8t6R0
J'adore,2023-06-16T14:28:48Z,single,A Butterfly In-between Time,2020-11-20,,,252590,false,45,0.187,0.782,0.748,0.917,0.0714,-8.843,0.0498,131.998,0.216,https://open.spotify.com/track/0tlztRFDgCSnAbUxllcZJJ,spotify:track:0tlztRFDgCSnAbUxllcZJJ
B.O.T.A. (Baddest Of Them All),2023-06-16T14:28:46Z,single,B.O.T.A. (Baddest Of Them All),2022-08-12,,,358266,false,67,0.0671,0.756,0.962,0.703,0.194,-7.526,0.0583,136.981,0.749,https://open.spotify.com/track/45bfH0GZvUyujIBiKRhXso,spotify:track:45bfH0GZvUyujIBiKRhXso
Keeping Your Head Up - Jonas Blue Remix; Radio Edit [Radio Edit],2023-06-16T14:28:41Z,single,Keeping Your Head Up (Jonas Blue Remix; Radio Edit),2016-03-18,,,183599,false,67,0.0452,0.643,0.685,0.0000952,0.0855,-5.137,0.041,122.053,0.404,https://open.spotify.com/track/26uWcFPeunNydCH7rl7nyA,spotify:track:26uWcFPeunNydCH7rl7nyA
More Than A Woman - SG's Paradise Edit,2023-06-16T14:28:29Z,single,More Than A Woman (SG's Paradise Edit),2021-06-25,,,357936,false,73,0.00469,0.679,0.762,0.23,0.0446,-4.253,0.0316,105.407,0.511,https://open.spotify.com/track/0L3XCv9i9IHs8cJEVhsJ3J,spotify:track:0L3XCv9i9IHs8cJEVhsJ3J
Love Divide,2023-06-16T12:13:32Z,album,Tread,2021-10-22,,,269818,false,52,0.653,0.743,0.697,0.916,0.11,-12.764,0.0651,132.051,0.608,https://open.spotify.com/track/2q1fb1ENmNiJAeosPZqAlC,spotify:track:2q1fb1ENmNiJAeosPZqAlC
OnlyL,2023-06-16T12:05:06Z,single,OnlyL,2021-06-14,,,227543,false,47,0.716,0.645,0.883,0.000259,0.106,-6.514,0.168,133.92,0.109,https://open.spotify.com/track/01XAVHIdfq8SNtZDplT0ZD,spotify:track:01XAVHIdfq8SNtZDplT0ZD
We Are The People - southstar Remix,2023-06-15T12:19:06Z,single,We Are The People (southstar Remix),2023-02-17,,,236068,false,67,0.0018,0.717,0.832,0.0334,0.13,-6.404,0.0396,150.014,0.128,https://open.spotify.com/track/3vLMN02wGnPBdjRVvewedS,spotify:track:3vLMN02wGnPBdjRVvewedS
Cold In The Summer,2023-06-14T14:28:12Z,album,More Or Less,2018-11-02,,,209800,false,35,0.194,0.639,0.552,0.0000111,0.0937,-7.589,0.0274,106.67,0.644,https://open.spotify.com/track/6rogExaUNeJUdUlwrojRHh,spotify:track:6rogExaUNeJUdUlwrojRHh
Tropicaliente,2023-06-09T18:57:27Z,single,Tulsa In The Haus EP,2023-02-24,,,212097,false,16,0.0142,0.645,0.802,0.885,0.18,-9.185,0.0438,127.287,0.334,https://open.spotify.com/track/0jSBR3nqnUny3MTPaceqQD,spotify:track:0jSBR3nqnUny3MTPaceqQD
